ID,Is_Lead
G5RWWH7F,0.196855834
SCBT9BAX,0.024510264
UGZGLVNB,0.280128777
2RRNUFBV,0.812981617
B6O59TEY,0.394472933
CYHRRYH6,0.041303968
GGYZVHWU,0.075671533
K6AM97RN,0.064100121
ATM5JQYM,0.065132932
7GYZSGWA,0.054608531
DFWUDQCR,0.155664256
E2Z98CR3,0.810817158
GD9KTSLY,0.06282851
2AMRA4OD,0.125479436
CFHZ3ZE6,0.481281215
BOMLVM5K,0.062761824
OBBEGBSY,0.450277567
FJEHOK8W,0.047912992
3GMAEVPJ,0.111843206
WAVDLUTH,0.055407546
6EN8GZX6,0.115952246
VXGA3GKB,0.251792616
U4MZ3U8C,0.432726389
GU4RDP8S,0.835334587
N3TPNHCD,0.11595059
JRRHWQC8,0.616187954
NZ5GBHZK,0.02719606
LCUC2LAJ,0.826346219
DJDSU9D2,0.900630569
647K6DBR,0.049100792
7NFXVESK,0.086371182
EWUWF25N,0.060602136
7QKYPLA8,0.06545039
XQVXWBNO,0.057023509
CNWH4MVA,0.065680461
AFJUJFQD,0.099928375
QKMFDX9H,0.202226827
YYMB5QBY,0.085836045
IRY3SEX7,0.267598596
CUAUZJH8,0.153663193
JYFUYQF5,0.3872078
I4NYEDFE,0.509137416
M3RSPRGQ,0.142672808
JIL3KWQN,0.123133919
X4B5ZBWU,0.128741804
AHYTHHSE,0.056736141
E7EHQEQK,0.317256474
FAMHAVN3,0.820802963
CCGKCTR6,0.067797668
6DTSELRV,0.05914966
LU8X3G6O,0.25061577
NPFDAUJY,0.061500219
DR9PXCFU,0.033621208
SHVZMWBV,0.054699616
8TGXGZHX,0.188991112
IKRSHJFW,0.148014045
TYKRZDCP,0.454088396
9IDA3L7P,0.10209952
ASOWCMDB,0.066083968
KZ5J2JGC,0.815517247
D5UCFKTV,0.057924847
2N8FFP7W,0.035872018
SA36MTFS,0.037701713
8UDMURUH,0.122808206
7VSQV6QN,0.169558829
IFUG9NC5,0.061263984
EQXDLQRG,0.265965354
JAR8YY9J,0.078257266
BS4TAF6M,0.056803027
WQJ9SPT9,0.783135831
7QHT4ON2,0.043951905
FNGPQN7B,0.123224662
DDOMDZRU,0.566715872
QYR9HXHP,0.190851349
S4NGXFXY,0.022987057
NOJ2KSCC,0.825630462
ZD2JRUNB,0.463905966
GZIPTSNN,0.05146063
LCFYUVE9,0.831074393
PPANVU9W,0.055370948
DRPV9STB,0.084480231
AFSPF3WZ,1.031071043
GPXEUNND,0.830566156
NSADMDSM,0.053979677
CKWJU8RQ,0.496924514
F7MNZSSU,0.062838982
BDGVMPZY,0.530022871
IA3MSRTR,0.085616519
JD3WTPMG,0.304577279
QT6DF6EW,0.824136317
NVDEMCZ2,0.052557231
9B6UTJVT,0.069327272
U6QYES9J,0.030316305
DZQPDSPS,0.126312971
CRGXVSBF,0.85763725
XIHJYS2V,0.573093677
7X2MC5GZ,0.828573394
ZBDVXTM5,0.061228746
UUBQPBR5,0.069559103
CUMZFBTD,0.101666731
E7QXYSQN,0.023129967
6UQAJP48,0.112800425
QHWB768Y,0.064895582
R6RXMXOJ,0.195189446
WXQGZG5K,0.041159264
GCUFKLHG,0.0713965
SJX4372M,0.058013168
VGEAMUZZ,0.097300109
ZWDXVKDF,0.820501232
WGMRCYLR,0.053363173
SI43K5CY,0.096443835
DSNBS2RS,0.177276909
XIMZCKSR,0.371901309
VEW9FXHT,0.021950661
JZJHDDDJ,0.445589334
4TYUR5HA,0.42878679
UHCDFDRX,0.21388832
E5QMOFUM,0.10152584
PSNVWDZH,0.062441072
5IQSWONG,0.071924081
CEAZEPY4,0.965829861
2TNRJXRX,0.027210531
BFROCARA,0.05401236
GRTJMRKM,0.02177339
6EDAM4EU,0.136869287
NRDB58KL,0.044920437
TCPJCWZR,0.016614898
KG8LD2BE,0.049647214
FHZ3XFDV,0.129736179
NZKCSDZ4,0.177373371
6DG6KJG4,0.059892651
BVPKDUNU,0.283890045
APR4PQ6X,0.047715539
HPWS8YFG,0.10585576
VRPBGTPU,0.059180107
XBCSX7G7,0.051349558
KEH3G8UA,0.157717502
WXNAVFLT,0.054335073
8J8NJ7M6,0.104550833
D4UW7Y85,0.067753553
SZRESXN7,0.057089518
UUQSXK5T,0.057865581
GPMUKOVY,0.382817638
6FYOKAZ5,0.161187048
ENUB4N9S,0.168170756
KERBCSGE,0.987106264
7HTA4C6J,0.831403959
4BTVMT6W,0.060495552
MR3J9USD,0.228101957
7S83FNQW,0.692295551
MSOKLC7S,0.031109495
GFMNATHU,0.052930132
NG4ABA6H,0.9215644
3GFHRAQY,0.228847989
BCSGZZPE,0.130716833
PQ9MCGZC,0.10417852
K7N596CG,0.053946736
8RUL6JEE,0.082549953
CVOFJRMP,0.067485783
B4FQX4HG,0.03750365
W7HAQKDV,0.064766204
8C5PKJ7G,0.04354564
E4GQJZSQ,0.051151551
UENREGNV,0.816752148
CC4LYHEW,0.820414984
GDKGLTBT,0.066868845
G3ER8CGX,0.06334579
ZG4KT59X,0.031232053
LW93KJMZ,0.490129685
9AR5FBSQ,0.403434134
FHLWDMRV,0.111159676
EON5DCWD,0.99537257
J8UXTMYV,0.215688258
IXBW5HZH,0.057046489
LDHQB458,0.02948456
GNHTIKF3,0.044218045
8NO22KTE,0.028345144
SGJFSSJK,0.18587172
TD8D3NDD,0.065826474
8RQ27JGU,0.852418268
A8GKBMBO,0.799066436
ODVMNUDE,0.498787791
EA5CRL7L,0.051442149
6UI7RPCH,0.225989711
7BJYM94L,0.064096914
X3PZJF7F,0.518582994
YCSSMPV7,0.455141205
4EV9VXL8,0.431000096
IPNJFQTY,0.190106291
XPWNJRJC,0.04848908
3WHNSBRB,0.17045418
U245YKM8,0.058694264
68EFFKBB,0.854346323
NEUII7AB,1.00642215
F7CSLYWT,0.057927728
5EOMOZHG,0.17865757
6CYUTUFN,0.305438751
K7YUC8LF,0.263933551
LSMCXMXA,0.049738988
AALPBPBP,0.06355406
ZPX6VOH2,0.084880114
CDBFWQGM,0.109747024
JUQ76NJV,0.86182164
QHE7UULR,0.048366956
JRMNMZJA,0.042088802
GZ4EZZFX,0.154627016
9L9JFIAR,0.519100553
GTOE4RN4,0.155100456
CUYE7ST4,0.283878899
FFM6DHEA,0.839449728
5XUK7XLZ,0.505935037
4HTGJEEZ,0.05897536
RWYBAMRG,0.146075061
RQZGBGGN,0.834587193
ITVSUTU9,0.269594336
6UMDX7NQ,0.4101587
4IVKAFYY,0.523074639
ZKYOSQEU,0.499072993
9JYXIDL4,0.974389577
XNURWQBT,0.056615257
HVNIJFQC,0.054260845
CGGVBJKZ,0.972477162
JO9DV3NY,0.834612787
EYENUQR9,0.356802189
FPU4ZI8H,0.09252831
2MALVTY4,0.087715268
QN4REV7D,0.063473551
27F5ZEQA,0.101678389
MKJUE4K2,0.110506706
4ECWF4DN,0.056468767
KWBJAQMY,0.042557804
3YAW8OEY,0.15265339
ZHHFH7H9,0.855949438
BO2822VM,0.105410306
NQZUPVUA,0.045015077
MUT2PZ7T,0.406587994
2MFKPCPS,0.828237188
4RLVOVMJ,0.620015395
JISGN7XF,0.05747015
NNOFHDAC,0.054337196
ODE23CPW,0.021723384
ZNTYNFME,0.202981448
NQM48VKU,0.103341934
DGVBCYY7,0.054965653
9F38NUKC,0.173645246
3Z7KCIZS,0.049003329
ERAX3STD,0.061297137
N9TCDYYG,0.055135646
R4UMWUZK,0.0782718
CPERTJBJ,0.127020505
4XK5BMA9,0.036990246
2PKDM5B2,0.039342058
SW5GTHZN,0.363827425
ATJAEQCJ,0.151586163
NHNXBSFY,0.170453992
NRGYTYZJ,0.041952848
UZNABWAT,0.060640623
CVP3VZN5,0.062719522
JEAYZXKC,0.056034973
87LFEVTZ,0.277031186
N7ZEJ2CQ,0.054065578
AQT3ADAP,0.068967864
WC8ROKF8,0.058969986
D9HWEXEV,0.085468145
MMHWGZCN,0.066683438
YKCAQFHU,0.235397142
NDPFBA9X,0.444723815
3T6C7AEA,0.184206873
GZWB38J9,0.048401844
OFTXYNYQ,0.065787511
QYZQIXBJ,0.464062542
N7PJT5HO,0.061450413
JP2PNX9X,0.192204019
N3FUZDIH,0.064199895
UXKAVBLS,0.02959547
G24JWDKS,0.044402648
HQOKKQVX,0.154062596
HTXFVZZG,0.0671648
3TJKVA4J,0.05675361
CRGS7FPX,0.041065555
BTRJTMR3,0.104317424
ERLPQML7,0.024675862
9FDFXYAW,0.485926831
MEEKFDZZ,0.052810714
ZGY8ETLW,0.208430293
AXVUJHT9,0.037312108
35ILRW7D,0.507210618
DR2U5JQX,0.077585262
WHZ7CEY6,0.245748124
UCPMS2KF,0.056939074
HB6MJHDN,0.280095243
7NWFPJ2X,0.130182199
4QXD6K4K,0.177188152
D6H3RTAZ,0.119762355
L67WSXUY,0.088925239
IXHVY78L,0.082778084
H6KE88O6,0.310728467
EAPKN7G8,0.973068905
GQXJSFJE,0.188571247
BVHSRABV,0.067266986
DUY76GFX,0.156041722
O7H9KPSD,0.433422983
6EDBA5AN,0.098395775
V24CAXFM,0.066351224
SERPSAWP,0.030209464
H47QYY5K,0.058570343
5TYQNFPE,0.369829082
HGDB7KMR,0.520766222
DWH8Q2S3,0.201544073
USNBQZAK,0.056132762
I89VR4AB,0.074360201
ATZVVXWJ,0.474304271
HOKP6ZTS,0.077797283
ZDKT2SSW,0.048598264
DK5HJYQE,0.035790805
ABKW7FGW,0.216677868
BCSW3W7T,0.057009579
6T4VNEWD,0.638368773
XBALBNYB,0.347636139
NWMJR3W5,0.053066389
Q5BJ4ULE,0.058686008
DOFSPEWD,0.828515553
ANX8FUBJ,0.062197959
KPR67SVO,0.023512581
44EV7IJE,0.05614152
VZEK4IOK,0.455879289
CZMKWRQN,0.05929307
VGQUQLXT,0.150900131
MS6GASNJ,0.038298184
4ENG9TKV,0.815709841
UHRRWLGR,0.058702375
APFSHZYP,0.049841331
M7MURWXC,0.497822136
3EOATQBT,0.067129873
MDZG7EZX,0.063338895
QZ6LSSTB,0.052761422
Y7EEZYYS,0.867691517
RYKLU6HL,0.055287704
CWQ8OAQ8,0.059389174
WSFUNE28,0.819483304
9PFQKPRB,0.051476096
MCLXWKBC,0.05664482
NWDXDZEN,0.266767079
EBLDBRDR,0.191097975
CJRW5JYT,0.290214181
CMMKRNUZ,0.252047932
EATPTPY3,0.065206714
J5AGUF6Q,0.070536095
8WYO2BBG,0.384180391
9EPXIMZB,0.037622146
UZERUG9W,0.081453082
QEQ79QUC,0.072559449
ZNHVE7QZ,0.116258761
PU3J43GY,0.832444024
HWDBXAUK,0.049128433
W74BHIAD,0.089889935
MGLDAPOA,0.057795319
BYFCPDX5,0.102768447
S2QDUDEJ,1.021750879
HBYRWBWL,0.023571177
8CIAWHWZ,0.840746999
ZFYFFXT5,0.093935952
UGIADHRB,0.214091212
JDDGRBSU,0.232372954
NBS2LTYW,0.314592487
DBKM3FRW,0.126985537
GLBHRXKB,0.052040735
9WDPTNCN,0.027013963
NVVVFQ9U,0.82780757
6AT635HW,0.11447861
HPHDI6NN,0.04604234
CPNAGJ95,0.048961131
FY6AFNCK,1.050833678
KWQAVZOE,0.832759142
HGBDE3LM,0.435254973
SYKEB6EV,0.053538145
9BROJWWS,0.435730088
CG8DGVAV,0.200417322
H7MT8CNK,0.061014991
GJVVWNKN,0.813493395
FXWTMJDG,0.093234028
OSNGFACM,0.079242066
PBFT55CF,1.000202668
4P8GFHSL,0.053749968
9ZZ4F4XF,0.441561139
CN4YERMU,0.818014014
8TUDLTWK,0.157412848
USFZPY7Z,0.029080591
VBJXREA8,0.041922586
9LBNXHQ2,0.133895124
PY6HCDWF,0.059320934
9VJMJR6X,0.060098062
4GAEJIQO,0.031572856
F34SD6YQ,0.052757515
HZ3BZVH6,0.152950591
9WVBAWEY,0.206975061
BPNYRSEH,0.060598835
7OGHEHO3,0.160381204
LRJZMHFT,0.063416266
PCHQW72T,0.4189336
BFJQGRFT,0.396478319
UVJ6UYBF,0.118686523
LRVO7MCH,0.209690678
EAOF4EYO,0.797708285
5HPCBEQQ,0.854338217
8FJBKABE,0.060289744
27J5UDAU,0.049871708
4MAT9RSM,0.858090281
SBDGZSY9,0.850084984
HPYN9M2Z,0.065944193
G7D2BESM,0.806908429
TWN7YQPN,0.067302522
BJRGMNFZ,0.186354181
9HFPJV3S,0.076017599
6WKJAUAG,0.060664678
BZUANVCU,0.178496104
NYWLDSFZ,0.845580518
LTW8JGAZ,0.062843105
IMDQJUTW,0.066195859
AVHZRCH8,0.202302933
LTSDWAVT,0.06336413
9WVKLADB,0.423198318
GXDSQJS2,0.053433019
4IHXKUNA,0.365945214
BTYDUQPC,0.067091838
BKCNFM72,0.131813085
UMVSSZ9N,0.053192315
N2STVKOI,0.059495142
ZZJQB3EY,0.498499352
FZJK9GH7,0.070036571
NTIWWNVB,0.036102867
NBCRWUBE,0.159573251
UBPYOBYG,0.090344475
K8RKMGVW,0.667446768
HFTH3NC2,0.046663851
759LCPDE,0.166913709
DYKME2AY,0.834373021
VZHURNZD,0.020835182
EAJJBYHU,0.350537246
T97TKZNT,0.446634883
IXOEQ2YD,0.622189605
BWKXTBCF,0.053899959
DNKPRVB3,0.228691924
JQCF2PXG,0.061254545
GIABLCP4,0.05341792
FDIC7S35,0.583354962
5RTNFJEV,0.025520618
OBZ4CU77,0.062933071
XMVX6WEB,0.120691785
MHARJGPA,0.067027287
2QI5GPDU,0.499399048
AE2NBAJ3,0.021488957
MDLANJZG,0.027098101
7TAP99MA,0.171016887
A6AMKR2Z,0.223054031
DX69CFXV,0.100747013
HKCKEKV4,0.237361833
CBNWXPJJ,0.26161148
Z3SJXFCA,0.094893511
RHTCABWR,0.862800884
ILGMVREG,0.221735242
BZK32SSP,0.052484925
25RR4UGE,0.055606738
9ZQFVNWY,0.134549254
FFSTFCAA,0.069914001
MBEDAX9Z,0.091334228
IYERPTUY,0.103016628
SBNMNBJE,0.023434694
CPWDDHBP,0.399050635
EN5EXSVB,0.045882873
EFT7687S,0.08968666
DUPIVFIW,0.055796136
HTVBHNFH,0.058687817
GFTV6AXH,0.061644377
NTNK2ZYN,0.033724847
NZ2MDLPM,0.23841843
UU4ECFQ5,0.832943332
FFWGNGVJ,0.058459011
JDQIBLRI,0.056701088
ZAWUVVWA,0.057352963
FC24V4XD,0.184725064
EKTZZYA2,0.073935738
RVRMHDD8,0.054377258
3RASGR5Y,0.161513561
QRBESHHG,0.057050142
MXYLFHSV,0.082344332
TY85POPR,0.098875931
BHXO9INE,0.055613543
S2RKLYZH,0.434243476
98GUQS9R,0.461436164
6VD8FK4Y,0.06296868
FMUHBZHQ,0.064641435
IHQY3US8,0.824401677
VDSNW6DR,0.133278444
JF8E8TCY,0.175318578
EKVBDN5B,0.130267644
LJOYHFHT,0.02656
8WBDXKKG,0.472398156
LNAASJ6O,0.05883757
HGTW39J8,0.072884847
AMYH3YSJ,0.107244425
QZRPEWE6,0.058183585
9RBSJHBJ,0.250476801
EFZ3ADG9,0.063187398
CMQX6K9J,0.19559381
DBVXEJCR,0.059816286
PLYKWBFR,0.063496032
7QNURUDE,0.04410882
M8TD2YPV,0.279312325
JVJZVKUJ,0.826698017
XVUVCSM8,0.516089547
C9CMNJEH,0.170814982
IQLV6HTY,0.087359919
ELG7YZUM,0.054650007
PU9KWVOH,0.480815226
HAYJGRRV,0.052071106
KBKUHSLA,0.079922929
USL6KBDY,0.051826178
ZGLCSKTI,0.059101842
9JQWNRGA,0.120171072
EBVUVT88,0.063475171
9ZU5GNSK,0.211985096
EC7NIRSV,0.059302385
JJ23TDTX,0.131863008
IZWY5RYD,0.088326289
TSYCNH93,0.059936848
QSY6Q77W,0.179168355
TOBSGQ3J,0.229183993
FKGE6YRE,0.430723971
MGAYPPJE,0.058629401
IJRFUH6V,0.170758393
KX9Y3LCV,0.061550146
2ZDDJYHE,0.832188141
NBMLMYQE,0.064124064
E8XWCECR,0.173117432
5FP4HKBU,0.110098965
FUKFFD3F,0.28393814
8BDSMQUY,0.036571769
39T7KUFC,0.065511955
HZSPWI2U,0.504628539
LEJJKOWC,0.054312494
DR5F2HVS,0.831727195
BJA5TRWJ,0.250643897
NCVH9WFE,0.167964888
ME3XYUC5,0.807689869
VLCHSDHG,0.057343551
59CV3HQQ,0.190533662
JTAEBBQM,0.052783056
OBHDYLE2,0.178205249
EUEGA65T,0.052435048
MO9XWHWE,0.156344812
K3JSVGHE,0.05435707
JFHAQZQM,0.066438019
22IQJE4I,0.825377929
F57YH86H,0.080716261
BPNYWIPI,0.067250185
FJB78783,0.109854336
DIVE6ZUL,0.046222488
YACVPC9M,0.277839142
A3FM9UVE,0.063394055
9NE6ZC2Q,0.097956923
4NHTDBJN,0.092954181
3FH863BT,0.025315781
3UBBVIGN,0.408633065
NNP9TLV2,0.469293958
SA7VUUTE,0.043678207
ROG7ONJG,0.446167099
ICEBXJHF,0.097590606
HFTYHFAZ,0.061447353
EC5IQBEK,0.064129987
VQPXGNJV,0.05390173
BNE8WOYV,0.836752605
MKEXSYJN,0.05918496
B2MY2KQE,0.132727313
GZVND3WE,0.458785337
JZ8ASRBZ,1.037579012
UMQWVVHH,0.836005366
MDGISGP7,0.0473074
JMVHKVGP,0.043087749
G5GPWASE,0.454770476
A9H3PMBD,0.058041018
DKEMLQCU,0.818982434
VVPNRFRF,0.899683988
AVIBMJNL,0.192298755
3FNEIWTQ,0.058353245
WMQIVFIH,0.082908192
GUSEEXX5,0.279641801
HZBZ7QMH,0.056087549
KMTZWEXS,0.030336116
62AXBXBL,0.099809457
FW6GESXM,0.02558551
A67RATVB,0.058242358
HUWJHKEG,0.055134554
KCHF33KH,0.289795011
CJUKTB4B,0.07980946
FA8NWHGK,0.093727279
6UZE4NSH,0.821022654
4UUZBMXW,0.156493342
QMRXRYDB,0.038093506
M3A5BVAC,0.940345585
II63YKTB,0.088388421
4OYB27TY,0.278507683
IEN9X6H8,0.071695934
U9VVATUM,0.202338672
SFOYCMRR,0.555228567
O7WYJHA5,0.268779784
STEKRYHT,0.023916301
QSX9J6OF,0.325528461
EVT46GYN,0.043597396
IQHUPR8Z,0.068060838
98WUTF8M,0.02790437
5JUSHPUM,0.058373356
9FMK8FZU,0.053030746
WPWW4JUN,0.525113827
8QUXAAHS,0.103191742
EU8RGIP7,0.071935274
BFT7ZJQO,0.061659822
4EQAO8W3,0.836238205
F3RWQSVQ,0.178054753
FUA3S84W,0.061715664
G9WITTNH,0.056628296
TE4CM6N8,1.045652366
L93TY7Q6,0.035379142
MK46HOFS,0.234437263
NSUSAJ7C,0.037807827
ZQXJP6PH,0.137433217
YX6PNVKN,0.055619998
7V7IJDSU,0.274450523
BSDHE7F2,0.306960386
DV5EXZEZ,0.785577738
VDKS85PW,0.409072536
4W48SFHV,0.451495403
ANGVCUXZ,0.055867055
IOST7D8C,0.494389713
HAQAECZX,0.038942298
GAB49KQU,0.797206903
GEBCXWCU,0.090380782
JPT2DAGQ,0.502706218
RXYEGKFP,0.58282423
4R6HCRNW,0.059764646
MWRTSE9B,0.050579245
JAC7FJCA,0.407972461
5DCT43QX,0.023679379
GFZMAKDD,0.065725403
8WVWSZNF,0.048805422
KCBVOKZ8,0.834893012
NRCEX3F3,0.053036976
59KYREQZ,0.059172855
S2HTHOYG,0.056935236
98QJA4ZA,0.059498928
8S27HJRE,0.20612936
MTEWWARX,0.065545723
PH8LQUCB,0.160708517
BYB9URVZ,0.707516575
3TYYHEQU,0.065113388
WTOPV47E,0.830478811
HGNGPJXH,0.337888241
LE5M9QWH,0.055090862
7YR3Z54H,0.107373768
9DLYZCUW,0.857602978
RKYQQQL5,0.194375649
5UTFCCXZ,0.280508304
JCYRCTNE,0.799758995
AJIVJ4WE,0.23669655
JTCERL4D,0.096205227
XWS2DC9M,0.054616106
TVIX5INS,0.826571155
CIQZ4NJS,0.096460955
EJRPJ86R,0.060468517
HPQBQGWQ,0.063341114
FR38HJFG,0.845322311
JPXNNMXQ,0.503048676
HWED8UBF,0.81321069
CJ6ILARS,0.043540692
MBCCSXEA,0.071143976
4S84NTNM,0.061615989
ADGV3FDY,0.169831303
HSAJUCOR,0.446738219
HHV3JEXF,0.046982104
DHARALYV,0.065068872
KBVN65GH,0.068856177
UYHCQN7W,0.064920077
9VXSCU6F,0.074587676
F2DBEMXE,0.207039344
6VN358PX,0.099552384
T2J5Y8NB,0.022455457
HPXJGYEZ,0.883030915
CS5NAYPP,0.477863246
2UC6R5XE,0.817052317
KZ8TKYP4,0.059463176
Y8XIC3AH,0.237333331
GCT9PSGP,0.060500331
MPQQFX4I,0.094549981
8VCZYPZD,0.056919478
JCIQPZLE,0.051881951
AYSUMKSF,0.106423908
VVAVU9BN,0.296355391
F3NBRACB,0.056735036
FPIGVTHX,0.079231933
X7XNXJVW,0.062014312
JEKWRXYH,0.509126294
MNGYZO5U,0.010477264
FXPCJ7GE,0.859089696
BUXRB7CD,0.091072658
JV4MCTHN,0.056346391
JUFQ5PVJ,0.396223319
ENLVSM6O,0.228766021
CJHC43KV,0.263306001
N4NSCGHE,0.410573214
FUVHQRWB,0.060688709
GTQHBCF7,0.428679007
DSB6DIRV,0.101106147
BVUKQQRV,0.024543546
KZCHX6LW,0.809367502
M5XAM7HE,0.065626442
YODUTYZU,0.832744741
JEREISWR,0.390312403
FTHIZFGT,0.200417411
7TCFIDRX,0.030380592
V8CRCBLR,0.052020219
XEDZWKEX,0.500344306
RAD4GZKE,0.059119716
FY8NXMD2,0.031795663
KVZXQCUM,0.380825001
JXRP92WY,0.022331227
IYA3LI6E,0.09657962
FXEUAUMU,0.195794755
KXVZ3BNR,0.034146708
FTDASK8G,0.517124498
JZQZ7RWM,0.069557554
HNPMBXDN,0.06404966
3SUTYK7Z,0.057142185
EHAW2L37,0.054950504
H5HWWKTM,0.138736112
BQVSKRPN,0.046777119
EUK3CR9A,0.183662236
VRMGCTGP,0.06142287
ENDZJZGR,0.070028569
NSSYQFVN,0.048551428
7TRWUSYQ,1.030138874
7Z6JWBCW,0.063684902
7DR4UVAZ,0.198889273
H7YECJLG,0.272141016
CUNTRPMN,0.833231592
VQQEMTVX,0.042478198
NWMFKQLZ,0.064307658
FIUW4SGY,0.0570292
JCVXZSJS,0.059141172
VZRUA5XP,0.43316288
923REBWY,0.069044629
3FKWHVLC,0.068514837
V8JTYKKL,0.158150467
A4MRC8NU,0.528466821
CQJTCLCJ,0.403948063
L9O3NMDQ,0.051523162
7DFWCHAN,0.042186058
NK7CWSGK,0.362900639
OLLGNEK9,0.058010358
KVOLRR62,0.071409906
KAI7SJGY,0.249520239
5LYDNC27,0.122118366
LPGW9PN3,0.098943081
4WA5JPWP,0.057529524
GCDXLWAN,0.14543812
7V6GQUOD,0.235749763
ENYQCCWM,0.026632509
B3BUXXA4,0.137271622
PC7INMMF,0.191798007
6PJ9NW3X,0.357547516
DXYC8WIG,0.841412055
DPKUYNJK,0.16786992
6ZRSCJ6J,0.809158182
CPX4EYVB,0.577328598
T28RFIEL,0.074531536
D4GXBMM8,0.091159032
JMQJAZHA,0.153671265
RZSFMVB9,0.455464786
T2QWMIDV,0.410857368
GRM6UHIW,0.057427274
X2SD7FMK,0.170147794
I4SENFDI,0.056214254
YSNU9M3K,0.782129407
USGXXPJH,0.464906508
QPQZPSMH,0.101661699
QPZDTV5V,0.06238185
H28ZERNP,0.86605835
UNWHQWCY,0.169024083
7N8BRMDU,0.074516727
DFMGCWHV,0.093332189
8FP6ENF4,0.454001451
FAO6XGQE,0.053128408
X5FCJHQ5,0.040298791
GGFPEVFR,0.102173132
AP9SCCXC,0.167073384
WONWP8QB,0.065390933
CWEKUQ4P,0.320512941
C5CGJVQZ,0.834336305
HO4YRWYD,0.040301996
HLIYGGYA,0.056734213
QKAJK2VB,0.416212589
